constituency_number,alliance,party,candidate
212,SPA,DMK,R. S. Raja Kannappan
212,AIADMK+,AIADMK,Malaysia S. Pandi
213,SPA,DMK,G. V. Markandayan
213,AIADMK+,AIADMK,R. Sathya
214,SPA,DMK,P. Geetha Jeevan
214,AIADMK+,AIADMK,S. T. Chellapandian
215,SPA,DMK,Anitha R. Radhakrishnan
215,AIADMK+,BJP,
216,SPA,INC,
216,AIADMK+,AIADMK,S. P. Shanmuganathan
217,SPA,DMK,M. C. Shunmugaiah
217,AIADMK+,AMMK,R. Sundararaj
218,SPA,DMK,Ka. Karunanithi
218,AIADMK+,AIADMK,Kadambur Raju
219,SPA,INC,
219,AIADMK+,AIADMK,Dr. Dhileepan Jayasankaran
220,SPA,DMK,E. Raja
220,AIADMK+,BJP,
221,SPA,DMK,T. M. Rajendran
221,AIADMK+,AIADMK,C. Krishnamurali
222,SPA,DMK,Dr. Kalai Kathiravan
222,AIADMK+,AIADMK,S. Selvamohandas Pandian
223,SPA,DMK,Manoj Pandian
223,AIADMK+,AIADMK,K. R. P. Prabakaran
224,SPA,DMK,Su. Subramanian
224,AIADMK+,AIADMK,Thachai N. Ganesaraja
225,SPA,INC,
225,AIADMK+,AIADMK,Isakki Subhaya
226,SPA,DMK,M. Abdul Wahab
226,AIADMK+,AIADMK,Syed Sulthan Sumsuddin
227,SPA,INC,
227,AIADMK+,AMMK,R. Esakkimuthu
228,SPA,DMK,M. Appavu
228,AIADMK+,BJP,
229,SPA,DMK,R. Mahesh
229,AIADMK+,AIADMK,Thalavai N. Sundaram
230,SPA,DMK,S. Austin
230,AIADMK+,BJP,
231,SPA,INC,
231,AIADMK+,BJP,
232,SPA,CPI(M),
232,AIADMK+,BJP,
233,SPA,INC,
233,AIADMK+,BJP,
234,SPA,INC,
234,AIADMK+,BJP,Nivin Simon
